,Country,City,Cloudiness (%),Lat,Lon,Humidity (%),Wind Speed (mph),Temp Min,Temp Max,Date
337,EG,Marsá Maţrūḩ,40,31.35,27.25,68,6.93,71.6,71.6,1603577056
338,ZA,Kruisfontein,0,-34.0,24.73,86,2.84,62.01,62.01,1603577058
339,US,Portland,90,45.52,-122.68,57,20.8,46.99,52.0,1603576763
340,KY,Bodden Town,75,19.28,-81.25,78,12.75,80.01,82.4,1603577060
341,JP,Itoman,40,26.12,127.67,64,10.29,62.6,71.6,1603577061
342,SO,Oodweyne,34,9.41,45.06,20,9.15,74.07,74.07,1603577062
343,RU,Tishchenskoye,0,45.46,41.67,57,6.71,51.01,51.8,1603577063
344,SE,Vänersborg,100,58.38,12.32,93,9.17,46.4,48.99,1603577064
345,RU,Khasan,11,42.43,130.64,49,24.38,48.97,48.97,1603577065
346,RE,Bras-Panon,0,-21.0,55.68,60,17.22,57.99,71.6,1603577067
347,PG,Kavieng,92,-2.57,150.8,66,3.44,84.27,84.27,1603577068
348,ID,Srandakan,99,-7.94,110.25,88,8.1,77.36,77.36,1603577069
349,MX,Puerto Escondido,75,15.85,-97.07,70,9.17,86.0,86.0,1603577070
350,GH,Takoradze,58,4.88,-1.76,89,9.24,77.49,77.49,1603577071
351,UA,Sudak,81,44.85,34.97,74,4.21,64.26,64.26,1603576809
352,HK,Hong Kong,98,22.29,114.16,69,3.0,61.0,75.0,1603577073
353,AF,Nuristan,100,35.3,70.83,100,3.04,22.82,22.82,1603577074
354,GL,Qasigiannguit,97,68.82,-51.19,62,10.29,21.2,21.2,1603577075
355,IN,Leh,0,34.17,77.58,75,3.04,31.26,31.26,1603577077
356,CD,Kindu,100,-2.95,25.95,96,1.88,71.35,71.35,1603577078
357,AU,Mackay,40,-21.15,149.2,83,10.29,77.0,78.01,1603577079
358,RU,Boksitogorsk,100,59.47,33.85,87,4.81,35.38,35.38,1603577080
359,IN,Sonepur,64,20.83,83.92,68,1.95,70.09,70.09,1603577081
360,TM,Abadan,0,38.05,58.21,36,4.7,53.6,53.6,1603577082
361,FI,Keminmaa,0,65.86,24.82,92,1.12,26.6,26.6,1603577083
362,JP,Nichinan,20,31.6,131.37,71,8.05,51.8,51.8,1603577084
363,BF,Kongoussi,2,13.33,-1.53,14,7.96,84.13,84.13,1603577085
364,MZ,Inhambane,93,-23.86,35.38,90,7.52,71.17,71.17,1603577087
365,CL,Linares,99,-35.85,-71.6,74,13.42,58.55,58.55,1603576878
366,JP,Nihommatsu,40,37.58,140.43,87,9.17,46.4,53.01,1603577089
367,TH,Kamphaeng Phet,94,16.25,99.5,93,1.21,70.9,70.9,1603577090
368,CA,Saint-Ambroise,90,48.55,-71.33,69,8.05,37.4,39.99,1603577091
369,IN,Kavaratti,41,10.57,72.64,73,7.96,81.43,81.43,1603577092
370,CO,Timbiquí,80,2.77,-77.67,90,5.19,77.88,77.88,1603577093
371,PT,Vila Franca do Campo,75,37.72,-25.43,82,17.22,68.0,68.0,1603577094
372,NO,Visnes,100,59.36,5.22,93,19.46,51.01,54.0,1603577095
373,MV,Ugoofaaru,100,5.67,73.0,73,10.94,82.92,82.92,1603577097
374,BR,Vila Velha,40,-20.33,-40.29,100,4.7,71.6,71.6,1603576893
375,BY,Berëzovka,53,53.72,25.5,92,9.84,48.94,48.94,1603577099
376,RO,Runcu,100,45.12,23.13,71,1.03,57.43,57.43,1603577100
377,ID,Tual,67,-5.67,132.75,72,4.25,82.76,82.76,1603577101
378,NP,Jumla,0,29.27,82.18,52,5.48,42.87,42.87,1603577103
379,CD,Mbandaka,91,0.05,18.26,96,2.24,72.03,72.03,1603577104
380,CV,Pombas,40,17.15,-25.02,78,26.4,80.6,80.6,1603577105
381,AR,Viedma,25,-40.81,-63.0,50,5.01,81.0,81.0,1603577181
382,PT,Ribeira Grande,72,38.52,-28.7,83,10.38,66.63,66.63,1603577182
383,US,Lake Charles,90,30.21,-93.2,77,6.93,62.6,64.4,1603577184
384,CA,Port Hardy,20,50.7,-127.42,39,17.22,46.4,46.4,1603577185
385,MX,Sonoita,100,31.85,-112.83,22,11.36,87.01,87.01,1603577186
386,AU,Bowen,90,-20.02,148.23,88,1.12,75.2,75.2,1603577187
387,CD,Kisangani,100,0.52,25.2,95,1.86,72.41,72.41,1603577188
388,RU,Cherskiy,4,68.75,161.3,93,4.94,17.02,17.02,1603577189
389,FR,Arrondissement de Bourges,0,47.25,2.42,76,11.41,53.01,55.4,1603577190
390,TH,Lat Yao,77,15.75,99.79,88,2.53,71.69,71.69,1603577191
391,RU,Yashkul',44,46.17,45.34,84,5.7,55.85,55.85,1603577193
392,CA,Fort Nelson,5,58.81,-122.7,42,6.93,26.6,26.6,1603577194
393,PT,Lata,99,40.16,-8.33,78,8.99,61.0,62.01,1603577195
394,CA,Hay River,75,60.82,-115.8,68,8.05,30.2,30.2,1603577196
395,MG,Toamasina,40,-18.17,49.38,94,2.24,68.0,68.0,1603577197
396,IS,Grindavik,75,63.84,-22.43,75,25.28,42.8,42.8,1603577198
397,SV,Intipucá,40,13.2,-88.05,79,6.93,87.8,89.6,1603577199
398,GY,Mabaruma,22,8.2,-59.78,85,4.03,79.3,79.3,1603577200
399,RU,Udachny,40,66.42,112.4,92,4.47,10.4,10.4,1603577201
400,SA,Riyadh,0,24.69,46.72,34,3.49,64.4,64.4,1603577203
401,CF,Ouadda,100,8.08,22.4,88,1.95,69.76,69.76,1603577204
402,TR,Erzin,100,36.96,36.2,29,11.01,75.99,75.99,1603577205
403,CA,Shelburne,75,44.08,-80.2,80,10.29,36.0,39.99,1603577206
404,CA,Havre-St-Pierre,90,50.23,-63.6,93,16.11,42.8,42.8,1603577207
405,NO,Skibotn,40,69.39,20.27,81,17.22,37.4,37.4,1603577208
406,US,San Patricio,75,28.02,-97.52,46,6.93,73.0,73.99,1603577209
407,AU,Alyangula,75,-13.85,136.42,78,3.36,82.4,82.4,1603577210
408,IN,Karwar,60,14.8,74.13,88,9.35,76.01,76.01,1603577212
409,US,Palmer,40,42.16,-72.33,55,16.11,55.99,62.6,1603577201
410,US,Juneau,75,58.3,-134.42,34,3.36,37.4,39.0,1603577165
411,BF,Sindou,1,10.67,-5.17,40,0.18,77.04,77.04,1603577215
412,MG,Ikongo,94,-21.88,47.43,86,2.46,66.76,66.76,1603577216
413,AU,Carnarvon,75,-24.87,113.63,100,17.22,69.8,69.8,1603577217
414,RU,Ol'ga,63,43.74,135.29,75,9.78,37.85,37.85,1603577219
415,RO,Lunca Cernii de Jos,100,45.63,22.62,94,1.45,51.49,51.49,1603577220
416,IT,Forio,0,40.73,13.86,75,7.0,59.0,66.0,1603577221
417,CA,Aklavik,75,68.22,-135.01,92,5.82,17.6,17.6,1603577222
418,MG,Ikalamavony,27,-21.15,46.58,68,9.35,65.53,65.53,1603577223
419,MX,El Sauzal de Rodríguez,100,31.9,-116.68,80,1.99,70.0,70.0,1603577224
420,US,Big Rapids,75,43.7,-85.48,65,7.45,41.0,42.01,1603577226
421,PL,Wejherowo,0,54.61,18.24,87,5.82,50.0,50.0,1603577227
422,UY,Treinta y Tres,34,-33.23,-54.38,92,9.48,69.58,69.58,1603577228
423,ID,Meulaboh,100,4.14,96.13,95,6.69,73.63,73.63,1603577229
424,RO,Asău,100,46.43,26.4,98,2.71,52.0,52.0,1603577230
425,ID,Waingapu,38,-9.66,120.26,77,3.51,79.9,79.9,1603577231
426,RE,Saint-Pierre,0,-21.34,55.48,60,5.82,57.99,68.0,1603577232
427,RU,Divnomorskoye,0,44.5,38.14,63,3.04,61.21,61.21,1603577233
428,PA,Pedasí,100,7.53,-80.03,85,20.42,79.38,79.38,1603577235
429,RU,Kyra,94,49.58,111.98,93,2.01,30.88,30.88,1603577236
430,US,Eufaula,100,31.89,-85.15,98,4.36,69.01,70.0,1603577237
431,PG,Vanimo,87,-2.67,141.3,82,2.37,80.31,80.31,1603577238
432,ZA,Danielskuil,52,-28.19,23.54,33,7.92,72.01,72.01,1603577239
433,AR,Morón,26,-34.65,-58.62,81,4.0,66.99,73.0,1603577240
434,MG,Ampanihy,98,-24.7,44.75,68,6.02,71.46,71.46,1603577241
435,US,Saint Anthony,40,45.02,-93.22,50,9.17,30.0,32.0,1603577242
436,AU,Hervey Bay,75,-25.3,152.85,73,17.22,77.0,78.01,1603577121
437,US,Aransas Pass,90,27.91,-97.15,44,7.83,69.8,75.2,1603577245
438,BO,Riberalta,40,-10.98,-66.1,50,4.7,95.0,95.0,1603577246
439,AU,Karratha,0,-20.74,116.85,88,9.44,64.26,64.26,1603577089
440,MN,Khovd,0,48.01,91.64,74,6.91,30.38,30.38,1603577248
441,PH,Marawi,100,8.0,124.29,92,5.01,73.99,73.99,1603577249
442,SO,Kismayo,93,-0.36,42.55,84,11.72,79.45,79.45,1603577250
443,AU,Lakes Entrance,20,-37.88,147.98,84,1.99,50.0,50.0,1603577251
444,MV,Thinadhoo,56,0.53,72.93,76,11.59,83.17,83.17,1603577252
445,RU,Solnechnyy,100,50.72,136.63,91,16.49,37.4,37.4,1603577254
446,US,El Reno,1,35.53,-97.95,43,6.93,55.4,57.0,1603577255
447,CN,Korla,17,41.76,86.15,64,1.99,45.0,45.0,1603577256
448,RU,Energetik,73,51.74,58.79,93,10.18,47.77,47.77,1603577257
449,GL,Paamiut,13,61.99,-49.67,85,6.31,30.07,30.07,1603577258
450,YE,Bajil,2,15.06,43.29,58,3.74,85.77,85.77,1603577259
451,GB,Northam,80,51.03,-4.22,87,4.0,48.0,51.01,1603577260
452,US,Kenai,90,60.55,-151.26,72,14.99,42.8,44.6,1603577261
453,MZ,Quelimane,0,-17.88,36.89,93,3.18,70.03,70.03,1603577263
454,ID,Palu,100,-0.89,119.87,77,2.37,75.97,75.97,1603577264
455,RU,Kargopol',60,61.51,38.95,95,6.38,32.86,32.86,1603577265
456,JP,Ishigaki,20,24.34,124.16,69,18.34,73.4,73.4,1603577266
457,GF,Cayenne,20,4.93,-52.33,74,5.82,84.2,84.2,1603577092
458,IR,Bojnourd,0,37.47,57.33,44,2.24,41.0,41.0,1603577015
459,BR,Cabedelo,75,-6.98,-34.83,83,8.05,78.8,78.8,1603577270
460,FR,Saint-François,0,46.42,3.91,100,2.24,46.4,46.99,1603577271
461,ID,Sungai Penuh,100,-2.08,101.38,93,1.23,65.66,65.66,1603577272
462,AU,Maningrida,93,-12.07,134.27,69,5.91,81.46,81.46,1603577273
463,US,Bar Harbor,90,44.39,-68.2,93,5.82,54.0,57.0,1603577274
464,IR,Tabas,0,33.6,56.92,24,2.24,59.0,59.0,1603577275
465,CA,Smithers,20,54.78,-127.17,42,4.7,28.4,28.4,1603577000
466,IN,Tura,72,25.52,90.22,98,3.04,71.17,71.17,1603577277
467,TH,Trat,97,12.5,102.5,67,4.54,73.99,73.99,1603577278
468,NO,Berlevåg,100,70.86,29.09,76,19.01,38.61,38.61,1603577279
469,CN,Beipiao,96,41.79,120.78,58,0.92,42.31,42.31,1603577281
470,UA,Lypnyazhka,100,48.45,31.08,77,6.71,55.0,55.0,1603577282
471,CN,Yumen,100,40.28,97.2,67,7.87,38.95,38.95,1603577283
472,BR,Pimenta Bueno,87,-11.67,-61.19,59,6.58,84.76,84.76,1603577284
473,GB,Kirkwall,11,58.98,-2.96,75,11.41,46.4,46.4,1603577285
474,PE,Huarmey,81,-10.07,-78.15,78,8.03,66.16,66.16,1603577286
475,SO,Mogadishu,100,2.04,45.34,84,6.73,79.68,79.68,1603577287
476,RU,Lebedinyy,76,58.52,125.52,97,4.36,21.87,21.87,1603577288
477,PT,Aguçadoura,75,41.43,-8.78,100,20.8,57.99,60.8,1603577289
478,NO,Andenes,75,69.31,16.12,80,20.8,41.0,41.0,1603577291
479,SE,Karlstad,100,59.38,13.5,100,4.7,46.4,46.4,1603577292
480,AU,Flinders,96,-34.58,150.86,76,7.0,55.99,57.99,1603577293
481,AU,Moranbah,97,-22.0,148.05,55,12.08,79.39,79.39,1603577294
482,RU,Chernyshevsk,29,52.52,117.02,94,2.15,29.8,29.8,1603577295
483,PH,Latung,100,5.5,120.88,77,4.74,81.84,81.84,1603577296
484,PA,Finca Blanco,40,8.38,-82.87,83,13.87,64.0,80.6,1603577297
485,JP,Shibetsu,90,43.66,145.13,75,16.49,45.9,45.9,1603577298
486,CU,Nuevitas,90,21.55,-77.26,83,6.93,80.6,80.6,1603577300
487,GB,Stornoway,18,58.21,-6.39,81,36.91,46.4,48.0,1603577301
488,IN,Ziro,100,27.63,93.83,100,0.18,54.3,54.3,1603577302
489,IN,Kurud,18,20.83,81.72,67,1.41,69.73,69.73,1603577303
490,RU,Seymchan,97,62.88,152.43,95,3.2,27.95,27.95,1603577304
491,BR,Mairi,94,-11.71,-40.15,65,10.94,76.78,76.78,1603577305
492,BW,Shakawe,59,-18.37,21.85,29,4.83,74.89,74.89,1603577306
493,BR,Carutapera,11,-1.2,-46.02,81,6.69,78.28,78.28,1603577308
494,VE,Maturin,60,9.75,-63.18,84,6.44,77.99,77.99,1603577309
495,PF,Mahina,75,-17.51,-149.49,69,6.93,82.0,82.4,1603577310
496,NO,Rognan,0,67.1,15.39,95,7.14,28.0,32.0,1603577311
497,SV,Acajutla,83,13.59,-89.83,94,1.01,78.01,78.01,1603577312
498,US,Traverse City,90,44.76,-85.62,60,9.17,37.99,41.0,1603577313
499,SE,Luleå,0,65.58,22.15,92,3.36,23.0,23.0,1603577314
500,UY,Rocha,19,-34.48,-54.33,95,6.29,62.6,62.6,1603577316
501,TR,Kumluca,2,36.37,30.29,30,8.59,78.62,78.62,1603577317
502,AO,Huambo,81,-12.78,15.74,54,3.02,65.46,65.46,1603577318
503,IT,Fiumicino,0,41.77,12.23,100,3.36,55.4,59.0,1603577320
504,AU,Colac,42,-38.33,143.58,69,10.0,41.0,46.99,1603577321
505,ES,Canary Islands,40,28.0,-15.5,64,20.8,69.01,71.6,1603577322
506,CA,La Ronge,90,55.1,-105.28,53,11.41,24.8,24.8,1603577323
507,JP,Shimoda,31,34.67,138.95,70,1.01,55.0,55.0,1603577324
508,MM,Thaton,57,16.92,97.37,92,3.06,74.66,74.66,1603577325
509,RU,Okhotsk,100,59.38,143.3,82,16.33,37.87,37.87,1603577327
510,RU,Shumskiy,100,54.83,99.13,92,11.97,29.93,29.93,1603577328
511,RU,Chumikan,100,54.72,135.31,86,10.87,34.57,34.57,1603577329
512,RU,Kstovo,40,56.15,44.2,75,4.47,41.0,41.0,1603577330
513,IN,Narasaraopet,79,16.25,80.07,84,2.89,74.21,74.21,1603577331
514,US,Kahului,20,20.89,-156.47,58,8.05,81.0,87.8,1603577332
515,FI,Hamina,0,60.57,27.2,76,3.36,33.8,34.0,1603577334
516,NZ,Waitati,100,-45.75,170.57,50,15.32,68.02,68.02,1603577335
517,US,Laguna,1,38.42,-121.42,43,6.93,69.8,73.99,1603577336
518,PG,Popondetta,56,-8.75,148.25,66,0.27,84.29,84.29,1603577337
519,SJ,Longyearbyen,75,78.22,15.64,85,3.36,19.4,19.4,1603577061
520,CV,Praia,100,14.92,-23.51,83,16.11,78.8,78.8,1603577339
521,PL,Nidzica,21,53.36,20.43,93,8.05,50.0,50.0,1603577340
522,YE,Marzuq,0,14.4,46.47,27,1.43,63.46,63.46,1603577341
523,CA,Peace River,20,56.25,-117.29,49,19.46,24.8,24.8,1603577342
524,US,Iberia,75,29.95,-91.75,73,13.87,66.2,71.6,1603577343
525,ES,Bereda,97,43.27,-7.54,100,18.01,55.99,59.0,1603577345
526,ES,Mahon,20,39.89,4.27,63,11.41,64.4,64.4,1603577346
527,ID,Sorong,100,-0.88,131.25,84,5.23,79.09,79.09,1603577347
528,PE,Chilca,40,-12.52,-76.74,68,11.41,66.0,68.0,1603577348
529,GB,Margate,93,51.38,1.39,83,11.01,55.99,59.0,1603577349
530,IN,Nīlēshwar,80,12.25,75.1,85,5.75,74.95,74.95,1603577345
531,CO,San Andrés,75,12.58,-81.7,83,4.7,84.2,84.2,1603577351
532,BD,Chhāgalnāiya,98,23.03,91.51,97,6.4,73.89,73.89,1603577352
533,GM,Nioro,22,13.35,-15.75,60,3.47,81.66,81.66,1603577354
534,PH,Isabela,75,6.71,121.97,100,4.7,77.0,77.0,1603577355
535,AU,Cowra,100,-33.83,148.68,93,1.99,51.01,51.01,1603577356
536,GB,Hastings,100,50.86,0.57,82,42.5,52.0,62.6,1603577357
537,BR,Arinos,100,-15.92,-46.11,94,1.63,69.24,69.24,1603577358
538,RU,Kuragino,96,53.9,92.67,84,15.79,28.89,28.89,1603577359
539,RU,Baykit,100,61.67,96.37,96,2.66,25.81,25.81,1603577108
540,RU,Muravlenko,69,63.79,74.52,97,8.72,14.58,14.58,1603577129
541,CA,Riviere-au-Renard,90,49.0,-64.4,93,9.17,46.4,46.4,1603577362
542,PH,Davila,90,18.47,120.58,100,2.24,77.0,77.0,1603577364
543,MX,Rosarito,90,32.33,-117.03,68,12.75,68.0,71.01,1603577365
544,AU,Katherine,40,-14.47,132.27,69,5.82,80.6,80.6,1603577366
545,NA,Katima Mulilo,59,-17.5,24.27,27,2.64,74.95,74.95,1603577367
546,RO,Subcetate,100,46.85,25.45,86,2.08,48.0,48.0,1603577368
547,AU,Gold Coast,90,-28.0,153.43,78,10.29,73.4,77.0,1603577276
548,NE,Agadez,0,19.75,10.25,20,9.84,72.28,72.28,1603577370
549,GF,Iracoubo,70,5.48,-53.2,76,12.82,82.49,82.49,1603577372
550,AU,Dubbo,90,-32.25,148.62,93,8.05,53.6,53.6,1603577373
551,CD,Kabinda,92,-6.13,24.48,89,0.83,69.51,69.51,1603577374
552,MX,Durango,1,24.83,-104.83,22,3.67,78.8,78.8,1603577227
553,AZ,Xudat,0,41.63,48.68,50,4.97,62.55,62.55,1603577376
554,AU,Kununurra,65,-15.77,128.73,94,3.36,80.6,80.6,1603577377
555,CG,Djambala,92,-2.54,14.75,97,2.86,68.7,68.7,1603577378
556,IN,Pallapatti,91,11.66,78.13,81,1.1,73.33,73.33,1603577379
557,RU,Krasnyy Chikoy,94,50.36,108.75,94,2.71,31.28,31.28,1603577380
558,BR,Piracanjuba,87,-17.3,-49.02,86,5.99,71.83,71.83,1603577382
559,ID,Merauke,74,-8.47,140.33,83,5.7,79.5,79.5,1603577383
560,GB,Peterhead,20,57.51,-1.8,87,12.75,45.0,48.2,1603577384
561,IR,Bushehr,0,28.97,50.84,53,3.44,76.26,76.26,1603577385
562,ID,Pangkalanbuun,91,-2.68,111.62,95,1.74,74.46,74.46,1603577386
563,EG,Alexandria,40,31.22,29.96,83,4.7,69.8,69.8,1603577281
564,AR,Río Gallegos,75,-51.62,-69.22,81,8.05,44.6,44.6,1603577388
565,RU,Zima,100,53.92,102.04,94,17.67,35.15,35.15,1603577389
